mode,level,true_class,support,expert,owner,pred_x,conf_x,pred_xa,conf_xa,flip_rate,stability,tta_weight
gaussian,0.5,bot,5,WebBot,True,bot,0.9987584352493286,bot,0.8591215014457703,0.2,0.8665054403137729,0.18392645715070294
gaussian,0.5,bot,5,Tail,False,infiltration,0.9367480278015137,infiltration,0.680116593837738,0.4200000000000001,0.864841440002437,0.1836513538338403
gaussian,1.0,benign,4032,Benign,True,benign,0.9987408518791199,benign,0.9832199811935425,0.0,0.992688713118357,0.20043497863424586
gaussian,1.0,benign,4032,DoS,False,dos-slowloris,0.8154396414756775,dos-goldeneye,0.7231377363204956,0.7729662698412698,0.7316985370735145,0.1475525710176279
gaussian,1.0,benign,4032,DDoS_Scan,False,portscan,0.9930504560470581,portscan,0.9584866762161255,0.4870535714285714,0.7704621298637685,0.1554027052023017
gaussian,1.0,benign,4032,BruteForce,False,ssh-patator,0.9971503019332886,ssh-patator,0.9980887174606323,0.4049355158730159,0.799014760780728,0.16063274518724882
gaussian,1.0,benign,4032,WebBot,False,bot,0.8163335919380188,bot,0.8320862054824829,0.49967757936507934,0.8276769858072852,0.16651056278726656
gaussian,1.0,benign,4032,Tail,False,web-attack-�-sql-injection,0.7284983992576599,infiltration,0.6897134184837341,0.5619295634920635,0.8404936968222304,0.16946643717130908
gaussian,1.0,dos-hulk,380,Benign,False,benign,0.999214231967926,benign,0.9381974339485168,0.0,0.6266446272025425,0.1407011796698111
gaussian,1.0,dos-hulk,380,DoS,True,dos-hulk,0.9999107718467712,dos-goldeneye,0.7360652089118958,0.7060526315789473,0.7088685378201406,0.1590973262966939
gaussian,1.0,dos-hulk,380,DDoS_Scan,False,portscan,0.9936627149581909,portscan,0.9775756597518921,0.473421052631579,0.7722328028861682,0.17325881079402045
gaussian,1.0,dos-hulk,380,BruteForce,False,ssh-patator,0.9971983432769775,ssh-patator,0.9979484677314758,0.4936842105263158,0.7548561749998548,0.1695134239329382
gaussian,1.0,dos-hulk,380,WebBot,False,web-attack-�-brute-force,0.6863042116165161,bot,0.7998050451278687,0.6652631578947368,0.776869888270903,0.17395909525778142
gaussian,1.0,dos-hulk,380,Tail,False,web-attack-�-sql-injection,0.8001109957695007,infiltration,0.682514488697052,0.5492105263157895,0.8182722214508475,0.18347016404875488
gaussian,1.0,portscan,290,Benign,False,benign,0.9982419013977051,benign,0.9777871966362,0.0,0.6062530622737262,0.1303830462402581
gaussian,1.0,portscan,290,DoS,False,dos-slowloris,0.9486332535743713,dos-goldeneye,0.7279776334762573,0.7755172413793103,0.7123364898800116,0.15310463156223855
gaussian,1.0,portscan,290,DDoS_Scan,True,portscan,0.9999917149543762,portscan,0.9455262422561646,0.39241379310344826,0.8139071306185623,0.1748896810229135
gaussian,1.0,portscan,290,BruteForce,False,ssh-patator,0.9984034895896912,ssh-patator,0.998181939125061,0.37206896551724145,0.8091754764616271,0.17333385153254302
gaussian,1.0,portscan,290,WebBot,False,bot,0.913439929485321,bot,0.8511801958084106,0.30758620689655175,0.8607509800570212,0.1845872393763253
gaussian,1.0,portscan,290,Tail,False,web-attack-�-sql-injection,0.6893609166145325,infiltration,0.6907608509063721,0.5455172413793103,0.855034663338934,0.18370155026572152
gaussian,1.0,ftp-patator,18,Benign,False,benign,0.9982870817184448,benign,0.9747708439826965,0.0,0.6074733190279756,0.13725079934791917
gaussian,1.0,ftp-patator,18,DoS,False,dos-slowloris,0.8447329998016357,dos-goldeneye,0.7343519926071167,0.7555555555555555,0.7402518321312901,0.16698347652429443
gaussian,1.0,ftp-patator,18,DDoS_Scan,False,portscan,0.9928557872772217,portscan,0.9515706896781921,0.3777777777777778,0.8195182014829802,0.18502045035339595
gaussian,1.0,ftp-patator,18,BruteForce,True,ftp-patator,0.9997393488883972,ssh-patator,0.9981932640075684,0.5277777777777778,0.7366024076757328,0.1662752270609725
gaussian,1.0,ftp-patator,18,WebBot,False,web-attack-�-brute-force,0.9277614951133728,bot,0.8085648417472839,0.7833333333333333,0.7344891082786141,0.16581714893355348
