tau_pre,tau_post,delta_macro_f1,delta_tail_f1,delta_benign_fpr,accepted,changed,helpful,harmful,proposal_rate,harmful_fraction,feasible,reason
0.0013682154240086675,0.0,0.023292557485250165,-0.2683055132586678,0.009933774834437026,113203,7596,6546,52,0.9992847555913057,0.007881176113973931,False,"benign_fpr,tail_f1,protected_class_f1"
0.0013682154240086675,0.0015887017361819744,0.023294314066979682,-0.2683055132586678,0.009933774834437026,111193,7595,6546,52,0.9992847555913057,0.007881176113973931,False,"benign_fpr,tail_f1,protected_class_f1"
0.0013682154240086675,0.013520341366529465,0.02605255532002937,-0.2552063626158275,0.008278145695364114,92663,7528,6520,46,0.9992847555913057,0.007005787389582699,False,"benign_fpr,tail_f1,protected_class_f1"
0.0013682154240086675,0.040567584335803986,0.03195317867356706,-0.2368856715672354,0.004966887417218402,61775,7417,6469,36,0.9992847555913057,0.005534204458109147,False,"benign_fpr,tail_f1,protected_class_f1"
0.0013682154240086675,0.08958851173520088,0.032598840104170024,-0.2323898499932805,0.004966887417218402,30888,7197,6338,8,0.9992847555913057,0.0012606366214938543,False,"benign_fpr,tail_f1,protected_class_f1"
0.0013682154240086675,0.1528833955526352,0.04305058447365162,-0.17029990850334775,0.0016556291390728006,12350,6886,6075,2,0.9992847555913057,0.0003291097581043278,False,"benign_fpr,tail_f1,protected_class_f1"
0.0013682154240086675,0.30280329287052155,0.06671219366866521,-0.03682589453177254,0.0,6178,5002,4774,0,0.9992847555913057,0.0,False,"tail_f1,protected_class_f1"
0.0013682154240086675,1.0636159777641296,0.027001894766687684,0.0,0.0,1236,1084,1084,0,0.9992847555913057,0.0,True,
0.22489437460899353,0.0,0.025918508537535523,-0.2682504725520938,0.008278145695364114,82001,7567,6533,50,0.4772602251406686,0.007595321282090233,False,"benign_fpr,tail_f1,protected_class_f1"
0.22489437460899353,0.0015887017361819744,0.025920355192129096,-0.2682504725520938,0.008278145695364114,80901,7566,6533,50,0.4772602251406686,0.007595321282090233,False,"benign_fpr,tail_f1,protected_class_f1"
0.22489437460899353,0.013520341366529465,0.028577709395606887,-0.2552330878051985,0.0066225165562913135,68671,7502,6507,45,0.4772602251406686,0.006868131868131868,False,"benign_fpr,tail_f1,protected_class_f1"
0.22489437460899353,0.040567584335803986,0.03216357163134986,-0.23708553383990372,0.004966887417218402,42306,7398,6458,36,0.4772602251406686,0.00554357868801971,False,"benign_fpr,tail_f1,protected_class_f1"
0.22489437460899353,0.08958851173520088,0.0328318821935748,-0.23247309070741884,0.004966887417218402,21922,7184,6329,8,0.4772602251406686,0.001262427015938141,False,"benign_fpr,tail_f1,protected_class_f1"
0.22489437460899353,0.1528833955526352,0.04315301753761458,-0.17038836189537876,0.0016556291390728006,10968,6878,6069,2,0.4772602251406686,0.00032943501894251357,False,"benign_fpr,tail_f1,protected_class_f1"
0.22489437460899353,0.30280329287052155,0.06676157895641155,-0.03682589453177254,0.0,6156,4997,4770,0,0.4772602251406686,0.0,False,"tail_f1,protected_class_f1"
0.22489437460899353,1.0636159777641296,0.027001894766687684,0.0,0.0,1236,1084,1084,0,0.4772602251406686,0.0,True,
0.5863015651702881,0.0,0.04162205284834941,-0.19124380454547962,0.0016556291390728006,60346,7425,6459,43,0.3044027779166909,0.006613349738541987,False,"benign_fpr,tail_f1,protected_class_f1"
0.5863015651702881,0.0015887017361819744,0.04162205284834941,-0.19124380454547962,0.0016556291390728006,59452,7425,6459,43,0.3044027779166909,0.006613349738541987,False,"benign_fpr,tail_f1,protected_class_f1"
0.5863015651702881,0.013520341366529465,0.05133148255406572,-0.14272953606517969,0.0,51011,7375,6439,39,0.3044027779166909,0.006020376659462797,False,"tail_f1,protected_class_f1"
0.5863015651702881,0.040567584335803986,0.05246546098718208,-0.13639105319689504,0.0,32591,7301,6403,33,0.3044027779166909,0.005127408328154133,False,"tail_f1,protected_class_f1"
0.5863015651702881,0.08958851173520088,0.05530172027568392,-0.12072264863074533,0.0,18382,7119,6287,5,0.3044027779166909,0.0007946598855689765,False,"tail_f1,protected_class_f1"
0.5863015651702881,0.1528833955526352,0.054189756614173135,-0.11488956299690423,0.0,9397,6835,6035,1,0.3044027779166909,0.0001656726308813784,False,"tail_f1,protected_class_f1"
