policy,true_class,predicted_class,rows
expert7_always,dos,web_attacks,14
expert7_always,infiltration,benign,2481
expert7_always,infiltration,bot,0
expert7_always,infiltration,brute_force,0
expert7_always,infiltration,ddos,0
expert7_always,infiltration,dos,0
expert7_always,infiltration,infiltration,6145
expert7_always,infiltration,web_attacks,116
expert7_always,web_attacks,benign,5
expert7_always,web_attacks,bot,0
expert7_always,web_attacks,brute_force,0
expert7_always,web_attacks,ddos,0
expert7_always,web_attacks,dos,0
expert7_always,web_attacks,infiltration,1
expert7_always,web_attacks,web_attacks,121
expert8_always,benign,benign,2155855
expert8_always,benign,bot,56
expert8_always,benign,brute_force,0
expert8_always,benign,ddos,23
expert8_always,benign,dos,16
expert8_always,benign,infiltration,496243
expert8_always,benign,web_attacks,10
expert8_always,bot,benign,167
expert8_always,bot,bot,41373
expert8_always,bot,brute_force,0
expert8_always,bot,ddos,0
expert8_always,bot,dos,0
expert8_always,bot,infiltration,2
expert8_always,bot,web_attacks,0
expert8_always,brute_force,benign,20
expert8_always,brute_force,bot,0
expert8_always,brute_force,brute_force,37676
expert8_always,brute_force,ddos,0
expert8_always,brute_force,dos,0
expert8_always,brute_force,infiltration,0
expert8_always,brute_force,web_attacks,0
expert8_always,ddos,benign,0
expert8_always,ddos,bot,0
expert8_always,ddos,brute_force,0
expert8_always,ddos,ddos,262680
expert8_always,ddos,dos,0
expert8_always,ddos,infiltration,0
expert8_always,ddos,web_attacks,0
expert8_always,dos,benign,612
expert8_always,dos,bot,0
expert8_always,dos,brute_force,0
expert8_always,dos,ddos,0
expert8_always,dos,dos,38871
expert8_always,dos,infiltration,0
expert8_always,dos,web_attacks,0
expert8_always,infiltration,benign,2206
expert8_always,infiltration,bot,0
expert8_always,infiltration,brute_force,0
expert8_always,infiltration,ddos,0
expert8_always,infiltration,dos,0
expert8_always,infiltration,infiltration,6536
expert8_always,infiltration,web_attacks,0
expert8_always,web_attacks,benign,113
expert8_always,web_attacks,bot,0
expert8_always,web_attacks,brute_force,0
expert8_always,web_attacks,ddos,0
expert8_always,web_attacks,dos,0
expert8_always,web_attacks,infiltration,0
expert8_always,web_attacks,web_attacks,14
scorer_only,benign,benign,2647875
scorer_only,benign,bot,5
scorer_only,benign,brute_force,0
scorer_only,benign,ddos,9
scorer_only,benign,dos,12
scorer_only,benign,infiltration,3938
scorer_only,benign,web_attacks,364
scorer_only,bot,benign,147
scorer_only,bot,bot,41395
scorer_only,bot,brute_force,0
scorer_only,bot,ddos,0
scorer_only,bot,dos,0
scorer_only,bot,infiltration,0
scorer_only,bot,web_attacks,0
scorer_only,brute_force,benign,20
scorer_only,brute_force,bot,0
scorer_only,brute_force,brute_force,37676
scorer_only,brute_force,ddos,0
