method,bucket,cls,support,precision,recall,f1
distpfn,all,brute_force,37683,1.0,0.999469256694,0.9997345579061928
distpfn,all,ddos,263206,0.9999502837649722,0.9934082049801296,0.9966685090243763
distpfn,all,dos,39483,1.0,0.9837145100422967,0.9917904063940349
distpfn,all,infiltration,9353,0.31613355124912446,0.14476638511707474,0.19859196245233207
distpfn,all,web_attacks,156,0.23176661264181522,0.9166666666666666,0.36998706338939197
distpfn,seen_same_label,benign,873880,0.9998558185785772,0.9998775575593903,0.9998666879508221
distpfn,seen_same_label,bot,39682,1.0,1.0,1.0
distpfn,seen_same_label,brute_force,110,1.0,1.0,1.0
distpfn,seen_same_label,ddos,76966,1.0,1.0,1.0
distpfn,seen_same_label,dos,6322,1.0,1.0,1.0
distpfn,seen_same_label,infiltration,370,0.8013245033112583,0.654054054054054,0.7202380952380952
distpfn,seen_same_label,web_attacks,9,0.15517241379310345,1.0,0.26865671641791045
distpfn,unseen,benign,1685786,0.9938722239975617,0.9980940641338818,0.9959786701109558
distpfn,unseen,bot,1859,0.9976090854751942,0.8977945131791286,0.9450736126840317
distpfn,unseen,brute_force,37573,1.0,0.999467702871743,0.9997337805819556
distpfn,unseen,ddos,186240,0.9999295461689375,0.9906840635738832,0.9952853343690493
distpfn,unseen,dos,33161,1.0,0.9806097524200115,0.990209960565782
distpfn,unseen,infiltration,8983,0.2793268023109771,0.12378937993988645,0.17155199012650416
distpfn,unseen,web_attacks,147,0.23971377459749552,0.9115646258503401,0.37960339943342775
