class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1,_footer
tractor,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
train,100,0.10572687224669604,0.11504424778761062,0.24,0.26,0.14678899082568808,0.15950920245398773,0.012720211628299644,
trout,100,0.2348993288590604,0.25190839694656486,0.35,0.33,0.28112449799196787,0.2857142857142857,0.0045897877223178285,
tulip,100,0.3333333333333333,0.6666666666666666,0.01,0.02,0.019417475728155338,0.038834951456310676,0.019417475728155338,
turtle,100,0.08602150537634409,0.16842105263157894,0.08,0.16,0.08290155440414508,0.1641025641025641,0.08120100969841902,
wardrobe,100,0.7142857142857143,0.7073170731707317,0.25,0.29,0.37037037037037035,0.41134751773049644,0.04097714736012609,
whale,100,0.1989247311827957,0.22162162162162163,0.37,0.41,0.25874125874125875,0.28771929824561404,0.02897803950435529,
willow_tree,100,0.1206896551724138,0.16201117318435754,0.21,0.29,0.15328467153284672,0.2078853046594982,0.05460063312665148,
wolf,100,0.11848341232227488,0.09852216748768473,0.25,0.2,0.1607717041800643,0.132013201320132,-0.02875850285993231,
woman,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
worm,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
macro avg,10000,0.19230599360027636,0.21594271107310525,0.1772,0.1837,0.14593824667864175,0.15254929417044769,0.006611047491805938,True
weighted avg,10000,0.1923059936002764,0.21594271107310528,0.1772,0.1837,0.14593824667864178,0.15254929417044769,0.00661104749180591,True
