beta,dataset,variant,roc,cross_entropy,accuracy,pred_time
2.0,balloon,distpfn,0.8633134963965932,0.600145753819188,0.6253746253746254,0.34727931022644043
2.0,mfeat-fourier,distpfn,0.9900466666666666,0.3067833135638278,0.87,0.47226691246032715
2.0,ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.7708492148193321,0.3416025068893978,0.937,1.2539982795715332
2.0,mfeat-karhunen,distpfn,0.9997255555555556,0.06492126580633141,0.983,1.208798885345459
2.0,jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.8290519999999999,0.5119431166708193,0.738,1.049391746520996
2.0,covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.8784319999999999,0.4442832859002843,0.791,0.3723604679107666
2.0,first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.6910500206112006,1.9502018443919824,0.283,0.4050328731536865
2.0,MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.98288,0.16527765115387477,0.937,1.0146615505218506
2.0,KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.8955599999999999,0.3783637301688251,0.791,0.568148136138916
2.0,ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.8276960363761152,0.5300975226615178,0.793,0.6283652782440186
2.0,mfeat-zernike,distpfn,0.9822488888888887,0.3301255547742668,0.843,0.3934454917907715
2.0,connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.6898275362508489,1.1137276772253935,0.449,0.7255589962005615
2.0,kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.9981444075730614,0.04952559789736466,0.986,0.81130051612854
2.0,road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.810868,0.5390125047041457,0.723,0.9039022922515869
