arm,tau_pre,tau_post,delta_macro_f1,delta_tail_f1,delta_benign_fpr,helpful,harmful,changed,feasible,reason
decision_post_raw,0.00020117884560022503,0.0053338916040956,-0.0007018988881974941,0.0097222193949138,0.06880179171331491,2210,1536,3750,False,benign_fpr
decision_post_raw,0.00020117884560022503,0.0190883897244928,0.0002861726087429739,0.011111759039918623,0.06356103023515247,2117,1419,3540,False,benign_fpr
decision_post_raw,0.00020117884560022503,0.025076736696064472,0.0008102441357521473,0.011762501597060715,0.06029115341544411,2071,1346,3421,False,benign_fpr
decision_post_raw,0.00020117884560022503,0.21494646966457345,0.011569914483352206,0.028769219640684907,0.012273236282193123,1091,274,1368,False,benign_fpr
decision_post_raw,0.00020117884560022503,0.6335415244102478,0.016046425029895173,0.03759373847751324,0.002105263157894499,765,47,813,False,benign_fpr
decision_post_raw,0.00020117884560022503,0.8705101013183594,0.016009313475244924,0.03734662635217206,0.0009854423292271486,660,22,683,False,benign_fpr
decision_post_raw,0.00020117884560022503,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,0.00020117884560022503,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,0.00020117884560022503,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
decision_post_raw,0.00020117884560022503,0.9774828553199768,0.00033579001982486645,0.0007803507157431167,0.0,12,0,12,False,support
decision_post_raw,0.00020117884560022503,0.9825287461280823,0.0,0.0,0.0,0,0,0,False,support
decision_post_raw,0.0002054347132798,0.0,-0.0010269714236316174,0.009388964833462854,0.07122060470323599,2250,1590,3844,False,benign_fpr
decision_post_raw,0.0002054347132798,0.0002867408038582,-0.0009986874465629514,0.00941561812674957,0.07099664053750254,2246,1585,3835,False,benign_fpr
decision_post_raw,0.0002054347132798,0.0053338916040956,-0.0007018988881974941,0.0097222193949138,0.06880179171331491,2210,1536,3750,False,benign_fpr
decision_post_raw,0.0002054347132798,0.0190883897244928,0.0002861726087429739,0.011111759039918623,0.06356103023515247,2117,1419,3540,False,benign_fpr
decision_post_raw,0.0002054347132798,0.025076736696064472,0.0008102441357521473,0.011762501597060715,0.06029115341544411,2071,1346,3421,False,benign_fpr
decision_post_raw,0.0002054347132798,0.21494646966457345,0.011569914483352206,0.028769219640684907,0.012273236282193123,1091,274,1368,False,benign_fpr
decision_post_raw,0.0002054347132798,0.6335415244102478,0.016046425029895173,0.03759373847751324,0.002105263157894499,765,47,813,False,benign_fpr
decision_post_raw,0.0002054347132798,0.8705101013183594,0.016009313475244924,0.03734662635217206,0.0009854423292271486,660,22,683,False,benign_fpr
decision_post_raw,0.0002054347132798,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,0.0002054347132798,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,0.0002054347132798,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
decision_post_raw,0.0002054347132798,0.9774828553199768,0.00033579001982486645,0.0007803507157431167,0.0,12,0,12,False,support
decision_post_raw,0.0002054347132798,0.9825287461280823,0.0,0.0,0.0,0,0,0,False,support
decision_post_raw,0.0452093537896871,0.0,-0.0009875261856676643,0.00947292346122075,0.07117581187008948,2250,1589,3842,False,benign_fpr
decision_post_raw,0.0452093537896871,0.0002867408038582,-0.0009592430135088037,0.009499576754507466,0.07095184770435603,2246,1584,3833,False,benign_fpr
decision_post_raw,0.0452093537896871,0.0053338916040956,-0.0006624623274164021,0.009806178022671697,0.06875699888016829,2210,1535,3748,False,benign_fpr
decision_post_raw,0.0452093537896871,0.0190883897244928,0.0003264109197609333,0.011197632024892601,0.06351623740200574,2117,1418,3538,False,benign_fpr
decision_post_raw,0.0452093537896871,0.025076736696064472,0.0008504708669718752,0.011848374582034693,0.060246360582297265,2071,1345,3419,False,benign_fpr
decision_post_raw,0.0452093537896871,0.21494646966457345,0.01161230918649181,0.028860532612713596,0.012228443449046278,1091,273,1366,False,benign_fpr
decision_post_raw,0.0452093537896871,0.6335415244102478,0.01608129755496368,0.03767510770267324,0.002105263157894277,765,47,812,False,benign_fpr
decision_post_raw,0.0452093537896871,0.8705101013183594,0.016134852086246876,0.037639549777842896,0.0009854423292271486,660,22,682,False,benign_fpr
decision_post_raw,0.0452093537896871,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,0.0452093537896871,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,0.0452093537896871,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
