condition,policy,class,support,TP,FP,FN,TN,precision,recall,f1,fpr,H,D,calls,accepted,recall_upper_bound,individual_f1_upper_not_joint
3,expert2_always,infiltration,8742,1113,223,7629,3033508,0.8330838323353293,0.1273164035689773,0.2208771581663028,7.350684684963829e-05,0,1620,8742,8742,,
3,expert3_always,infiltration,8742,6203,459181,2539,2574550,0.0133287779554088,0.7095630290551361,0.0261660402509037,0.1513585087141872,3489,19,8742,8742,,
3,expert4_always,infiltration,8742,6271,465480,2471,2568251,0.0132930295855228,0.7173415694349119,0.0261023573704507,0.1534348299173526,3556,18,8742,8742,,
3,expert5_always,infiltration,8742,6918,495496,1824,2538235,0.0137695207538006,0.7913520933424846,0.0270680575010368,0.1633289174287371,4194,9,8742,8742,,
3,expert6_always,infiltration,8742,7556,806387,1186,2227344,0.0092832053350173,0.8643331045527339,0.0183691206233248,0.2658070211234944,4827,4,8742,8742,,
3,expert7_always,infiltration,8742,6145,508214,2597,2525517,0.0119469086766246,0.7029283916723862,0.0234945067969665,0.1675211150889779,3430,18,8742,8742,,
3,expert8_always,infiltration,8742,6536,496245,2206,2537486,0.0129996956925579,0.747654998856097,0.0255550581303284,0.1635758081385594,3817,14,8742,8742,,
4,scorer_only,infiltration,8742,2733,3948,6009,3029783,0.409070498428379,0.3126286890871654,0.3544057576347014,0.0013013678536429,0,0,0,0,,
5,scorer_verifier,infiltration,8742,2733,3948,6009,3029783,0.409070498428379,0.3126286890871654,0.3544057576347014,0.0013013678536429,0,0,0,0,,
6,bank_oracle,infiltration,8742,8108,171,634,3033560,0.9793453315617828,0.927476549988561,0.9527054814640737,5.636623682191994e-05,5375,0,8742,5439,0.927476549988561,0.9527054814640737
0,fixed_call_bank_oracle,web_attacks,127,111,428,16,3041918,0.20593692022263452,0.8740157480314961,0.3333333333333333,0.00014068090874607951,0,0,0,0,0.8740157480314961,0.3333333333333333
1,global,web_attacks,127,111,428,16,3041918,0.2059369202226345,0.8740157480314961,0.3333333333333333,0.000140680908746,0,0,0,0,,
2,fixed_region,web_attacks,127,16,34,111,3042312,0.32,0.1259842519685039,0.1807909604519774,1.1175586208800708e-05,2,97,127,127,,
3,expert1_always,web_attacks,127,126,16365,1,3025981,0.0076405311988357,0.9921259842519684,0.0151642796967144,0.0053790725972654,15,0,127,127,,
3,expert2_always,web_attacks,127,115,393,12,3041953,0.2263779527559055,0.905511811023622,0.3622047244094488,0.0001291766288252,5,1,127,127,,
3,expert3_always,web_attacks,127,121,3137,6,3039209,0.0371393492940454,0.952755905511811,0.0714918759231905,0.0010311121746178,10,0,127,127,,
3,expert4_always,web_attacks,127,122,3262,5,3039084,0.0360520094562647,0.9606299212598424,0.0694958701224722,0.0010721988886208,11,0,127,127,,
3,expert5_always,web_attacks,127,119,5437,8,3036909,0.021418286537077,0.937007874015748,0.0418792891078655,0.001787107712272,11,3,127,127,,
3,expert6_always,web_attacks,127,122,3008,5,3039338,0.0389776357827476,0.9606299212598424,0.0749155664722136,0.0009887106857668,11,0,127,127,,
3,expert7_always,web_attacks,127,121,4270,6,3038076,0.027556365292644,0.952755905511811,0.0535635236830455,0.0014035221503405,11,1,127,127,,
3,expert8_always,web_attacks,127,14,10,113,3042336,0.5833333333333334,0.1102362204724409,0.1854304635761589,3.2869371202355025e-06,0,97,127,127,,
4,scorer_only,web_attacks,127,111,428,16,3041918,0.2059369202226345,0.8740157480314961,0.3333333333333333,0.000140680908746,0,0,0,0,,
5,scorer_verifier,web_attacks,127,111,428,16,3041918,0.2059369202226345,0.8740157480314961,0.3333333333333333,0.000140680908746,0,0,0,0,,
6,bank_oracle,web_attacks,127,126,0,1,3042346,1.0,0.9921259842519685,0.9960474308300395,0.0,15,0,127,15,0.9921259842519685,0.9960474308300395
